gender,age,no_of_people_contribute_income,relationship_status,children_status,financially_independent,occupation,housing situation,have_roomates,country,living environment,commute,highest level of education attained?,gross_annual_wage,total_portfolio,amount_for_fi,amount_for_re,curr_percentage_of_fi,frequency_of_checking_balance,do_you_move_when_fi,how_financially_stable_childhood_home,parent/guardian_financial_status,did_parent/guardian_teach_about_money,age_when_financially_literate,age_when_learnt_about_fi,education,job,housing_situation,location,spending_habits,frugality,logical_thinking,creativity,drive_for_self_improvement,importance_of_relationship,internet_consumption,introversion,religiousness_level,response_release_consent
Male,37,1,"In a relationship, but not married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Urban,10-30 minutes,"Some college, no degree",121500,250000,500000,750000,50,Multiple times a day,Unsure,Extremely Unstable,Lower-Middle Class,"No, they were not financially savvy",33,35,No,Yes,Yes,No,Yes,3,5,3,4,5,5,4,1,Yes
Male,27,1,Married,Plan Children,No,Sales and Related Occupations,Rent,No,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",115000,537000,1500000,2500000,30,Multiple times per month,Unsure,Extremely Stable,Wealthy,"Yes, including investing and retirement planning",9,26,No,Yes,Yes,Yes,Yes,3,5,2,4,5,5,2,1,Yes
Male,30,2,Married,Undecided,No,Other (please specify),Own,No,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",100000,116000,2036,2031,15,Weekly,"Yes, within my country",Mostly Stable,Middle Class,"Yes, including investing and retirement planning",24,29,No,Yes,Yes,Yes,Yes,4,5,2,3,4,3,5,3,Yes
Male,42,2,Married,Have Children,No,Construction and Extraction Occupations,Own,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",235000,1400000,5000000,3000000,30,Monthly,Unsure,Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",24,35,No,No,Yes,No,Yes,4,4,1,3,4,4,4,2,Yes
Male,38,2,"In a relationship, but not married",Have Children,No,Business and Financial Operations Occupations,Own,No,Canada,Urban,<10 minutes,"College graduate, Bachelor's Degree",150000,450000,1500000,1500000,40,Multiple times per week,"Yes, to another country",Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",21,34,Yes,Yes,Yes,Yes,Yes,3,5,2,2,3,4,4,1,Yes
Male,35,2,Married,Have Children,No,Architecture and Engineering Occupations,Own,No,United States of America,Suburban,<10 minutes,Associate's Degree or Trade School,132000,235421,400000,600000,59,Multiple times per week,Unsure,Extremely Unstable,Lower-Middle Class,"No, they were not financially savvy",15,28,No,No,Yes,Yes,Yes,4,5,4,5,5,5,2,1,Yes
Female,22,1,"In a relationship, but not married",Plan Children,No,Architecture and Engineering Occupations,Rent,No,United Kingdom of Great Britain and Northern Ireland,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",41115,0,4000000,3000000,0,Multiple times a day,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",20,21,No,Yes,No,Yes,Yes,2,4,4,3,4,5,4,2,Yes
Male,26,2,Married,Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,Work at home,Graduate degree,200000,100000,2000000,5000000,5,Daily,No,Mostly Unstable,Lower-Middle Class,"No, they were not financially savvy",17,21,No,Yes,Yes,No,Yes,4,4,2,4,2,5,3,1,Yes
Male,24,1,"Single, never married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",70000,0,350000,350000,0.03,Multiple times per week,Unsure,Somewhat Stable,Lower-Middle Class,"Yes, only basic savings and budgeting",8,12,Yes,Yes,Yes,No,Yes,4,5,2,3,4,4,2,1,Yes
Male,28,1,"In a relationship, but not married",Plan Children,No,Sales and Related Occupations,Own,No,United States of America,Suburban,Work at home,Some graduate school,200000,175000,2000000,2000000,9,Daily,Unsure,Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",22,23,No,Yes,Yes,Yes,No,3,1,3,4,5,5,1,2,Yes
Male,32,1,"In a relationship, but not married",Undecided,No,Business and Financial Operations Occupations,Rent,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",153000,250000,1200000,2760000,21,Multiple times per week,No,Mostly Stable,Middle Class,"Yes, including investing and retirement planning",12,29,No,Yes,Yes,Yes,Yes,4,5,1,4,2,3,2,3,Yes
Male,24,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Suburban,30-60 minutes,Graduate degree,40000,2500,700000,1000000,0.1,Daily,"Yes, to another country",Mostly Stable,Lower-Middle Class,"No, they were not financially savvy",23,23,Yes,Yes,Yes,No,Yes,5,5,2,5,1,5,4,1,Yes
Male,44,2,Married,Have Children,No,"Installation, Maintenance, and Repair Occupations",Own,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",100000,600000,1500000,1500000,65,Multiple times per week,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",25,43,No,No,No,No,Yes,4,4,4,2,5,4,1,1,Yes
Male,33,1,"In a relationship, but not married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Urban,30-60 minutes,"College graduate, Bachelor's Degree",650000,475000,1500000,2000000,75,Daily,No,Extremely Stable,Wealthy,"No, we did not talk about it",31,32,No,Yes,Yes,No,No,4,5,5,4,3,4,4,1,Yes
Male,25,1,"In a relationship, but not married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",150000,245000,875000,1875000,12,Monthly,"Yes, within my country",Extremely Stable,Upper-Middle Class,"No, we did not talk about it",16,22,No,Yes,Yes,Yes,Yes,4,5,1,1,4,5,4,1,Yes
Male,26,1,"In a relationship, but not married",Undecided,No,Architecture and Engineering Occupations,Rent,Yes,United States of America,Suburban,Work at home,"College graduate, Bachelor's Degree",118000,37500,1200000,2000000,5,Daily,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, including investing and retirement planning",20,22,Yes,Yes,Yes,No,No,3,5,4,5,4,4,1,1,Yes
Female,32,2,Married,Plan Children,No,Healthcare Practitioners and Technical Occupations,Rent,No,United States of America,Suburban,30-60 minutes,Graduate degree,205000,101000,1200000,1200000,7,Daily,Unsure,Extremely Unstable,Lower-Middle Class,"No, they were not financially savvy",29,30,No,Yes,Yes,Yes,Yes,3,4,3,4,4,4,3,1,Yes
Male,30,2,"Single, never married",Plan Children,No,"Installation, Maintenance, and Repair Occupations",Own,Yes,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",165000,200000,700000,1500000,20,Daily,"Yes, within my country",Somewhat Unstable,Lower-Middle Class,"No, they were not financially savvy",28,25,No,Yes,Yes,Yes,Yes,4,5,2,5,5,5,1,1,Yes
Male,27,2,Married,Plan Children,No,"Licensed Professional (Attorney, Accountant, Engineer)",Rent,No,United States of America,Urban,<10 minutes,Graduate degree,150000,50000,2000000,3000000,4,Weekly,"Yes, within my country",Somewhat Unstable,Upper-Middle Class,"Yes, only basic savings and budgeting",19,26,No,No,Yes,Yes,Yes,3,4,3,5,4,4,1,2,Yes
Male,29,1,"Single, never married",Undecided,No,"Installation, Maintenance, and Repair Occupations",Own,No,United States of America,Rural,10-30 minutes,"Some college, no degree",105000,350000,1200000,1200000,32,Monthly,"Yes, to another country",Somewhat Stable,Middle Class,"No, we did not talk about it",24,26,No,Yes,Yes,No,No,3,4,2,3,3,4,4,2,Yes
Male,27,1,"Single, never married",Undecided,No,Architecture and Engineering Occupations,Rent,Yes,United States of America,Urban,10-30 minutes,Graduate degree,64000,21000,550000,625000,1,Daily,Unsure,Extremely Stable,Middle Class,"No, we did not talk about it",23,27,No,Yes,Yes,Yes,Yes,4,4,4,4,4,3,4,1,Yes
Female,23,2,"In a relationship, but not married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,30-60 minutes,Some graduate school,110000,255000,2300000,2300000,11,Multiple times per week,No,Extremely Stable,Extremely Wealthy,"Yes, only basic savings and budgeting",21,21,No,Yes,Yes,No,Yes,4,5,3,4,5,4,5,1,Yes
Female,28,1,"Single, never married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,90+ minutes,"College graduate, Bachelor's Degree",135000,240000,800000,1200000,30,Multiple times per month,Unsure,Extremely Stable,Middle Class,"Yes, only basic savings and budgeting",11,23,No,No,Yes,No,Yes,5,5,3,4,5,5,5,1,Yes
Male,27,1,"In a relationship, but not married",Plan Children,No,Sales and Related Occupations,Rent,Yes,United States of America,Urban,Work at home,"College graduate, Bachelor's Degree",75000,70961,2000000,4000000,5,Multiple times per month,Unsure,Extremely Stable,Upper-Middle Class,"No, we did not talk about it",25,27,No,Yes,No,Yes,Yes,4,4,2,3,2,5,2,1,Yes
Male,28,1,"Single, never married",Plan Children,No,Food Preparation and Serving Related Occupations,Rent,Yes,United States of America,Rural,30-60 minutes,"College graduate, Bachelor's Degree",70000,63725,1000000,1000000,6,Daily,"Yes, within my country",Somewhat Unstable,Middle Class,"No, we did not talk about it",27,27,No,Yes,Yes,Yes,Yes,4,4,2,4,4,4,3,1,Yes
Male,24,1,"In a relationship, but not married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",92500,85000,1200000,1400000,8.5,Weekly,Unsure,Somewhat Unstable,Poor,"No, they were not financially savvy",20,23,No,No,Yes,No,Yes,3,5,2,3,4,5,4,1,Yes
Male,30,2,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",180000,235000,2022,2024,25,Multiple times per week,Unsure,Mostly Stable,Upper-Middle Class,"No, we did not talk about it",25,28,No,Yes,Yes,Yes,Yes,2,1,4,2,3,3,4,1,Yes
Male,34,2,Married,Do not plan to have children,No,Healthcare Practitioners and Technical Occupations,Own,No,United States of America,Suburban,<10 minutes,Graduate degree,60000,110000,500000,1500000,20,Weekly,No,Extremely Stable,Upper-Middle Class,"Yes, including investing and retirement planning",16,30,Yes,Yes,Yes,Yes,Yes,3,5,3,5,5,4,4,1,Yes
Female,26,2,Married,Plan Children,No,Architecture and Engineering Occupations,Rent,No,Canada,Urban,<10 minutes,"College graduate, Bachelor's Degree",105000,130000,1500000,2000000,10,Monthly,No,Extremely Stable,Upper-Middle Class,"Yes, including investing and retirement planning",19,21,No,Yes,Yes,Yes,Yes,4,5,4,3,5,3,3,1,Yes
Male,26,2,"In a relationship, but not married",Do not plan to have children,No,Healthcare Practitioners and Technical Occupations,Rent,No,United States of America,Suburban,30-60 minutes,Graduate degree,290000,60000,2000000,5000000,0,Multiple times per week,"Yes, within my country",Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",25,25,No,No,Yes,Yes,Yes,2,4,4,5,2,5,5,1,Yes
Female,37,1,"In a relationship, but not married",Do not plan to have children,No,Healthcare Practitioners and Technical Occupations,Own,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",80000,110000,5000000,2000000,0,Quarterly,Unsure,Mostly Unstable,Poor,"No, they were not financially savvy",25,35,No,No,No,No,No,2,3,3,2,3,4,3,1,Yes
Female,35,2,Married,Have Children,No,Business and Financial Operations Occupations,Own,No,United States of America,Rural,30-60 minutes,Some graduate school,90000,150000,750000,1000000,15,Daily,No,Extremely Stable,Middle Class,"Yes, only basic savings and budgeting",30,33,No,No,No,No,Yes,4,4,4,3,3,4,5,4,Yes
Male,27,1,"In a relationship, but not married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,10-30 minutes,Graduate degree,90000,95000,1500000,1250000,9,Monthly,No,Mostly Stable,Upper-Middle Class,"No, we did not talk about it",25,26,No,Yes,No,No,Yes,4,4,2,3,4,4,4,1,Yes
Male,28,1,"In a relationship, but not married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,Switzerland,Urban,<10 minutes,"College graduate, Bachelor's Degree",335000,780000,1000000,2000000,80,Daily,"Yes, to another country",Mostly Stable,Upper-Middle Class,"Yes, including investing and retirement planning",16,26,No,No,Yes,Yes,Yes,4,5,2,4,4,5,4,1,Yes
Male,37,2,"In a relationship, but not married",Do not plan to have children,No,"Education, Training, and Library Occupations",Own,No,United States of America,Suburban,10-30 minutes,Graduate degree,128000,300000,1000000,2000000,40,Daily,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",25,30,No,Yes,No,No,Yes,4,5,4,3,3,5,5,1,Yes
Female,26,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",86000,50000,1000000,2000000,5,Monthly,No,Extremely Unstable,Upper-Middle Class,"Yes, including investing and retirement planning",15,24,No,Yes,Yes,Yes,Yes,2,5,3,5,5,3,3,1,Yes
Female,33,2,Married,Plan Children,No,Healthcare Practitioners and Technical Occupations,Own,No,United States of America,Suburban,30-60 minutes,Multiple graduate degrees,216500,515000,2500000,2500000,24,Multiple times per month,"Yes, within my country",Extremely Stable,Wealthy,"No, we did not talk about it",28,30,No,Yes,Yes,Yes,Yes,4,5,3,4,4,3,3,1,Yes
Male,36,1,Married,Have Children,No,Architecture and Engineering Occupations,Own,No,United States of America,Urban,10-30 minutes,Graduate degree,121000,430000,720000,900000,60,Multiple times per month,No,Somewhat Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",26,28,No,Yes,Yes,No,Yes,4,4,3,3,4,4,3,4,Yes
Male,29,2,Married,Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,Sweden,Urban,<10 minutes,Graduate degree,140000,101000,1000000,1400000,22,Multiple times a day,Unsure,Mostly Stable,Middle Class,"No, we did not talk about it",27,27,No,No,No,No,Yes,4,5,3,4,4,4,4,1,Yes
Male,31,1,"In a relationship, but not married",Undecided,No,Sales and Related Occupations,Rent,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",153000,500000,500000,600000,95,Multiple times per week,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, including investing and retirement planning",15,25,No,No,Yes,No,Yes,3,5,3,3,4,4,4,1,Yes
Male,29,2,Married,Do not plan to have children,No,Architecture and Engineering Occupations,Rent,No,Australia,Urban,30-60 minutes,"Some college, no degree",112600,450000,700000,960000,20,Multiple times per month,"Yes, to another country",Mostly Unstable,Poor,"No, they were not financially savvy",23,26,Yes,Yes,Yes,No,Yes,5,5,4,5,5,4,5,1,Yes
Male,32,2,Married,Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,30-60 minutes,Graduate degree,228000,130000,500000,1300000,27,Multiple times per month,No,Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",24,32,No,Yes,Yes,No,Yes,2,4,4,5,4,5,3,1,Yes
Male,20,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Rural,10-30 minutes,"Some college, no degree",35000,2000,700000,1000000,1,Multiple times per week,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, including investing and retirement planning",17,19,No,Yes,Yes,No,Yes,4,5,3,3,3,4,2,1,Yes
Female,34,2,Married,Have Children,No,Business and Financial Operations Occupations,Own,No,United States of America,Suburban,10-30 minutes,Multiple graduate degrees,175000,250000,2000000,6000000,12.5,Daily,Unsure,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",27,28,No,Yes,Yes,Yes,Yes,4,5,3,5,5,4,3,3,Yes
Male,24,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",105000,50000,600000,1000000,8,Monthly,"Yes, within my country",Somewhat Unstable,Middle Class,"No, we did not talk about it",23,24,No,No,Yes,No,Yes,4,5,1,4,3,4,3,1,Yes
Male,31,2,Married,Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,Canada,Urban,<10 minutes,"College graduate, Bachelor's Degree",170000,530000,1500000,3000000,33,Weekly,Unsure,Mostly Stable,Upper-Middle Class,"No, we did not talk about it",12,24,No,No,Yes,Yes,Yes,4,5,4,4,3,4,4,1,Yes
Female,25,2,"In a relationship, but not married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",180000,200000,750000,750000,25,Daily,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, including investing and retirement planning",24,24,No,No,Yes,No,Yes,3,4,4,3,3,5,3,1,Yes
Male,28,1,"In a relationship, but not married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",72000,155000,400000,600000,37.5,Daily,No,Extremely Stable,Upper-Middle Class,"No, we did not talk about it",26,26,No,Yes,Yes,Yes,Yes,4,4,4,5,5,4,2,2,Yes
Male,23,1,"Single, never married",Undecided,No,Management Occupations,Rent,No,United States of America,Urban,<10 minutes,"Some college, no degree",39000,37681,350000,500000,11,Quarterly,Unsure,Somewhat Unstable,Lower-Middle Class,"Yes, only basic savings and budgeting",21,21,No,No,Yes,Yes,Yes,4,4,3,4,3,4,4,2,Yes
Male,30,2,Married,Have Children,No,Other (please specify),Own,No,United States of America,Suburban,10-30 minutes,Graduate degree,117000,150000,2400000,1800000,10,Multiple times per week,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",22,27,Yes,Yes,Yes,No,Yes,4,5,1,5,4,4,5,1,Yes
Male,37,2,Married,Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,Canada,Rural,10-30 minutes,"College graduate, Bachelor's Degree",87000,116000,460000,540000,72,Weekly,No,Somewhat Unstable,Middle Class,"No, they were not financially savvy",22,24,No,Yes,Yes,Yes,Yes,5,5,2,2,4,3,4,1,Yes
Male,28,2,Married,Plan Children,No,Architecture and Engineering Occupations,Rent,No,Canada,Urban,<10 minutes,Associate's Degree or Trade School,65000,28000,600000,600000,5,Multiple times per week,Unsure,Extremely Stable,Middle Class,"Yes, including investing and retirement planning",21,24,No,No,No,No,Yes,4,4,3,5,4,4,4,3,Yes
Male,22,1,"In a relationship, but not married",Undecided,No,"Licensed Professional (Attorney, Accountant, Engineer)",Rent,No,United Kingdom of Great Britain and Northern Ireland,Suburban,10-30 minutes,Graduate degree,34000,1500,330000,1000000,1,Daily,Unsure,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",21,21,Yes,Yes,Yes,Yes,Yes,4,4,2,4,4,4,4,1,Yes
Male,26,1,"In a relationship, but not married",Plan Children,No,Business and Financial Operations Occupations,Rent,Yes,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",220000,150000,1500000,2500000,10,Multiple times per month,"Yes, within my country",Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",15,22,No,No,Yes,Yes,Yes,2,5,4,3,3,4,4,2,Yes
Male,30,1,Married,Plan Children,No,Protective Service Occupations,Own,No,United States of America,Suburban,10-30 minutes,Some graduate school,96000,180000,750000,750000,25,Multiple times per week,"Yes, within my country",Extremely Stable,Middle Class,"Yes, including investing and retirement planning",22,25,No,No,Yes,No,Yes,4,5,4,5,3,4,3,1,Yes
Male,40,2,Married,Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Urban,Work at home,"College graduate, Bachelor's Degree",237000,1050000,2100000,2450000,43,Daily,No,Extremely Stable,Middle Class,"Yes, only basic savings and budgeting",22,32,No,No,No,No,No,3,5,4,3,2,5,5,1,Yes
Male,43,1,"Single, never married",Undecided,Yes,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",688000,4343817,3571428,3571428,100,Multiple times per week,Unsure,Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",27,29,No,Yes,Yes,No,Yes,3,5,4,3,3,4,4,1,Yes
Female,29,1,Married,Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",89500,0,1500000,150000,4,Multiple times per month,"Yes, nearby",Somewhat Unstable,Lower-Middle Class,"No, they were not financially savvy",27,27,No,No,No,No,Yes,5,3,5,5,4,4,4,1,Yes
Female,39,2,Married,Do not plan to have children,No,Sales and Related Occupations,Own,No,United States of America,Urban,Work at home,Graduate degree,259000,24000,1000000,6000000,3,Annually,No,Mostly Unstable,Lower-Middle Class,"No, they were not financially savvy",39,39,No,No,No,No,Yes,2,4,5,5,5,3,3,2,Yes
Male,30,1,Married,Have Children,No,Protective Service Occupations,Rent,No,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",96000,200000,1000000,2000000,20,Weekly,Unsure,Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",25,25,Yes,Yes,Yes,No,Yes,4,5,4,4,5,4,1,5,Yes
Male,28,1,"Single, never married",Plan Children,No,Healthcare Practitioners and Technical Occupations,Own,Yes,United States of America,Urban,10-30 minutes,Graduate degree,54500,70000,30000,72000,9,Multiple times per week,"Yes, nearby",Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",36,27,No,Yes,Yes,Yes,Yes,4,4,3,4,4,4,4,1,Yes
Male,44,1,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,<10 minutes,Graduate degree,850000,2200000,4000000,5000000,50,Multiple times per month,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",25,35,No,No,No,No,No,2,4,5,3,3,5,1,1,Yes
Male,33,1,Divorced,Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,30-60 minutes,Multiple graduate degrees,115000,405000,40,50,30,Multiple times a day,Unsure,Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",30,33,Yes,Yes,No,No,Yes,3,4,5,2,5,5,4,1,Yes
Female,28,2,Married,Undecided,No,"Arts, Design, Entertainment, Sports, and Media Occupations",Rent,Yes,United States of America,Urban,30-60 minutes,"College graduate, Bachelor's Degree",98926,11061,3000000,1500000,0.018,Multiple times per week,Unsure,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",25,26,No,Yes,Yes,No,Yes,4,5,5,5,5,3,3,1,Yes
Male,31,2,"In a relationship, but not married",Undecided,No,Sales and Related Occupations,Own,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",300000,750000,1000000,1500000,70,Daily,"Yes, within my country",Mostly Unstable,Upper-Middle Class,"Yes, only basic savings and budgeting",13,27,No,No,No,No,No,3,5,2,3,3,4,3,1,Yes
Male,24,1,"Single, never married",Do not plan to have children,No,Business and Financial Operations Occupations,Rent,No,France,Urban,30-60 minutes,Graduate degree,45000,70000,700000,700000,10,Multiple times per week,"Yes, within my country",Mostly Stable,Middle Class,"Yes, including investing and retirement planning",17,20,No,Yes,Yes,Yes,Yes,4,4,3,5,2,4,4,1,Yes
Male,34,2,Married,Have Children,Yes,Architecture and Engineering Occupations,Rent,No,United States of America,Urban,Work at home,"College graduate, Bachelor's Degree",0,4400000,100000,100000,100,Monthly,Unsure,Mostly Stable,Upper-Middle Class,"No, we did not talk about it",18,23,No,Yes,Yes,Yes,Yes,3,5,4,4,5,3,5,1,Yes
Male,22,1,"Single, never married",Plan Children,No,Architecture and Engineering Occupations,Live with family,No,United States of America,Other (please specify),10-30 minutes,"College graduate, Bachelor's Degree",73000,50000,750000,1250000,6,Monthly,No,Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",17,18,Yes,Yes,Yes,Yes,Yes,4,4,2,3,3,5,3,1,Yes
Female,26,2,Married,Undecided,No,Other (please specify),Own,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",150000,71000,800000,1000000,10,Multiple times per week,No,Extremely Stable,Upper-Middle Class,"No, we did not talk about it",18,25,No,No,Yes,No,Yes,4,5,3,4,4,4,2,1,Yes
Male,47,1,"Single, never married",Do not plan to have children,No,Architecture and Engineering Occupations,Own,No,United States of America,Suburban,30-60 minutes,"Some college, no degree",170000,1250000,1000000,750000,50,Daily,"Yes, within my country",Mostly Stable,Upper-Middle Class,"No, we did not talk about it",30,42,Yes,Yes,Yes,Yes,Yes,4,4,2,4,2,5,5,1,Yes
Male,22,1,"In a relationship, but not married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",110000,90000,2000000,2000000,5,Multiple times per month,"Yes, within my country",Mostly Stable,Upper-Middle Class,"Yes, including investing and retirement planning",14,18,No,No,No,No,No,5,5,3,5,5,5,2,1,Yes
Male,25,1,"Single, never married",Plan Children,No,Architecture and Engineering Occupations,Rent,No,Germany,Urban,10-30 minutes,Graduate degree,75000,60000,1000000,2000000,5,Weekly,Unsure,Mostly Stable,Upper-Middle Class,"No, we did not talk about it",24,25,No,No,No,No,Yes,4,4,2,2,2,3,5,1,Yes
Male,28,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,Germany,Urban,10-30 minutes,"Some college, no degree",36000,4000,300000,450000,1,Multiple times per month,Unsure,Somewhat Unstable,Poor,"No, we did not talk about it",26,28,No,Yes,Yes,Yes,Yes,4,5,3,5,3,5,4,1,Yes
Male,28,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,30-60 minutes,Graduate degree,105000,60000,1000000,2000000,12,Weekly,"Yes, within my country",Somewhat Unstable,Upper-Middle Class,"No, we did not talk about it",25,26,No,No,No,Yes,Yes,3,5,1,2,2,5,5,1,Yes
Other (please specify),30,2,"Single, never married",Do not plan to have children,No,Transportation and Materials Moving Occupations,Live with family,No,Australia,Rural,10-30 minutes,"Some college, no degree",120000,400000,750000,1000000,40,Multiple times per week,"Yes, nearby",Somewhat Unstable,Upper-Middle Class,"Yes, only basic savings and budgeting",17,27,Yes,Yes,No,Yes,Yes,4,3,3,3,4,5,5,2,Yes
Male,27,1,Married,Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,10-30 minutes,Some graduate school,150000,500000,1000000,2000000,50,Multiple times per week,"Yes, within my country",Extremely Stable,Wealthy,"Yes, including investing and retirement planning",16,26,No,No,Yes,No,Yes,4,5,3,3,2,3,4,1,Yes
Male,24,1,"In a relationship, but not married",Undecided,No,Business and Financial Operations Occupations,Rent,Yes,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",190000,20000,2000000,4000000,1,Daily,"Yes, within my country",Somewhat Stable,Middle Class,"No, they were not financially savvy",20,21,No,Yes,Yes,No,Yes,3,4,2,5,3,4,3,1,Yes
Female,30,2,Married,Do not plan to have children,No,Management Occupations,Own,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",210000,160000,1000000,1500000,20,Multiple times per week,"Yes, within my country",Mostly Stable,Lower-Middle Class,"Yes, only basic savings and budgeting",28,29,No,Yes,Yes,Yes,Yes,4,4,5,4,2,5,2,1,Yes
Male,25,1,"In a relationship, but not married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",105000,185000,2000000,2000000,10,Daily,Unsure,Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",20,22,Yes,Yes,Yes,Yes,Yes,4,5,4,3,4,5,4,1,Yes
